# "Long-form" encoding of the complete PAD data
#
# date   : 2013-11-26 10:07:24
# source : /sources/original_corrected.csv
#
# Each word in the data is put on a separate line, and is given an unique ID in the first column.
# These IDs are also used in the alignment files.
# The column CONCEPT lists the meaning-designation as used in the original data.
# Because this is dialect data, almost all words with the same meaning are also cognate, but not all!
# Also, some cognate words were distinguished in the original data (e.g. "Äpfeln" and "Äpfelchen").
# There were also a few erroneous classifications (e.g. between "recht" and "lauter").
# Some words have been divided into separate cognate sets (e.g. various non-cognate words for "Dienstag").
# The column COUNTERPART lists the actual form as originally transcribed.
# The column CONCEPTID lists the numbers as used in the original data
# The column DOCULECT lists the short name of the village. See /data/doculects.csv for more info on each village.
# The column TOKENS lists a tokenization of the original transcription into phonetic units (according to the transcription!).
# The column COGID lists a separate ID for all words that are actually cognate. These IDs are summarized in the file /data/cognatesets.csv
#
ID	CONCEPT	COUNTERPART	CONCEPTID	DOCULECT	TOKENS	COGID
16847	Apfelbäume	ap͡fl̩vɐ̠ɪm	111	Hönebach	a p͡f l̩ v ɐ̠ ɪ m	1010
16848	Apfelbäume	apʰəlbœ→ʏʿm	111	Hohwacht(Os)	a pʰ ə l b œ→ʏʿ m	1010
16849	Apfelbäume	ɑb.ɫ̩bøːm	111	Verchen	ɑ b ɫ̩ b øː m	1010
16850	Apfelbäume	a̠βl̩bɔ+͡ʊm̩	111	Schwabstedt	a̠ β l̩ b ɔ+͡ʊ m̩	1010
16851	Apfelbäume	ep͡fl̻̩pɑ̟m	111	Treffelstein	e p͡f l̻̩ p ɑ̟ m	1010
16852	Apfelbäume	ʌbl̩pe̜→ɪm	111	Ensheim	ʌ b l̩ p e̜→ɪ m	1010
16853	Apfelbäume	ɛːpɫbo→ɪm‿	111	Köln	ɛː p ɫ b o→ɪ m	1010
16854	Apfelbäume	ʌbəlpɤʾ→ɪmə̟	111	Grünlichtenberg	ʌ b ə l p ɤʾ→ɪ m ə̟	1010
16855	Apfelbäume	ɛp͡fəlpɐ→ʊ̜m	111	Schnepfenbach	ɛ p͡f ə l p ɐ→ʊ̜ m	1010
16856	Apfelbäume	ɑʾb.l̩bɤ̟ʾ→ɪʾ͡ʏm	111	Jeetzel	ɑʾ b l̩ b ɤ̟ʾ→ɪʾ͡ʏ m	1010
16857	Apfelbäume	a̠b.ɭ̩bø͡ʏ̜m	111	Hagen	a̠ b ɭ̩ b ø͡ʏ̜ m	1010
16858	Apfelbäume	ɛpəlpɛ̣ːm‿	111	Mastershausen	ɛ p ə l p ɛ̣ː m	1010
16859	Apfelbäume	ʔa̠p͡fl̩ba̠→ɪmə̟	111	Schellroda	ʔ a̠ p͡f l̩ b a̠→ɪ m ə̟	1010
16860	Apfelbäume	ɛpəlpe͡ɪm	111	Maxweiler	ɛ p ə l p e͡ɪ m	1010
16861	Apfelbäume	apʰəlbœ̣→ɪm	111	Aachen	a pʰ ə l b œ̣→ɪ m	1010
16862	Apfelbäume	a̠ɔp.lpɤ̟→ɪmə	111	Freden	a̠ ɔ p l p ɤ̟→ɪ m ə	1010
16863	Apfelbäume	ɑʾp.ɭ̩pɤ→ʏ̠ʿmə	111	Bremscheid	ɑʾ p ɭ̩ p ɤ→ʏ̠ʿ m ə	1010
16864	Apfelbäume	ap.ɭ̩pøːm	111	Ebstorf	a p ɭ̩ p øː m	1010
16865	Apfelbäume	a̠p.l̩βøːm	111	GrossMohrdorf	a̠ p l̩ β øː m	1010
16866	Apfelbäume	ab̰͡vl̩peːm	111	Docelles	a b̰͡v l̩ p eː m	1010
16867	Apfelbäume	ap.l̩pøm‿	111	Bonn	a p l̩ p ø m	1010
16868	Apfelbäume	æpl̩pɔ→ɪmə̟	111	Linz	æ p l̩ p ɔ→ɪ m ə̟	1010
16869	Apfelbäume	ap͡fəl̰pɛ̠m	111	Altentrüdin	a p͡f ə l̰ p ɛ̠ m	1010
16870	Apfelbäume	ɑ̟bə̟ɭbeːmɔ̥+	111	Reetz	ɑ̟ b ə̟ ɭ b eː m ɔ̥+	1010
16871	Apfelbäume	øp͡fl̩pɑ̟ːmə	111	Zellingen	ø p͡f l̩ p ɑ̟ː m ə	1010
16872	Apfelbäume	a̠b.l̩pœmə̟	111	Brelingen	a̠ b l̩ p œ m ə̟	1010
